current_week_value,update_dt,source,last_week_value,datadate,product_name
9.4,2018-06-07 15:15:06,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,7.6,2018-06-01,宁波
4.4,2018-06-07 15:15:06,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,5.1,2018-06-01,上海及嘉兴
65.9,2018-06-07 15:15:06,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,70.1,2018-06-01,张家港
12.8,2018-06-07 15:15:06,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,11.8,2018-06-01,太仓及常熟
3.8,2018-06-07 15:15:06,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,5.0,2018-06-01,江阴及常州
96.3,2018-06-07 15:15:06,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,99.6,2018-06-01,总和
