current_week_value,update_dt,source,last_week_value,datadate,product_name
5.8,2018-06-07 15:32:21,http://www.ccf.com.cn/newscenter/detail-160000-2018051800296.shtml,4.7,2018-05-18,江阴及常州
100.4,2018-06-07 15:32:21,http://www.ccf.com.cn/newscenter/detail-160000-2018051800296.shtml,97.5,2018-05-18,总和
7.6,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,6.6,2018-05-25,宁波
5.1,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,5.3,2018-05-25,上海及嘉兴
70.1,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,70.9,2018-05-25,张家港
11.8,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,11.8,2018-05-25,太仓及常熟
5.0,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,5.8,2018-05-25,江阴及常州
99.6,2018-06-07 15:32:23,http://www.ccf.com.cn/newscenter/detail-160000-2018052500352.shtml,100.4,2018-05-25,总和
9.4,2018-06-07 15:32:27,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,7.6,2018-06-01,宁波
4.4,2018-06-07 15:32:27,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,5.1,2018-06-01,上海及嘉兴
65.9,2018-06-07 15:32:27,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,70.1,2018-06-01,张家港
12.8,2018-06-07 15:32:27,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,11.8,2018-06-01,太仓及常熟
3.8,2018-06-07 15:32:27,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,5.0,2018-06-01,江阴及常州
96.3,2018-06-07 15:32:27,http://www.ccf.com.cn/newscenter/detail-160000-2018060100134.shtml,99.6,2018-06-01,总和
current_week_value,update_dt,source,last_week_value,datadate,product_name
6.7,2018-06-07 15:34:04,http://www.ccf.com.cn/newscenter/detail-160000-2017071400378.shtml,5,2017-07-14,宁波
3.1,2018-06-07 15:34:04,http://www.ccf.com.cn/newscenter/detail-160000-2017071400378.shtml,3.6,2017-07-14,上海及嘉兴
32.1,2018-06-07 15:34:04,http://www.ccf.com.cn/newscenter/detail-160000-2017071400378.shtml,32.5,2017-07-14,张家港
8.1,2018-06-07 15:34:04,http://www.ccf.com.cn/newscenter/detail-160000-2017071400378.shtml,8.9,2017-07-14,太仓及常熟
3.7,2018-06-07 15:34:04,http://www.ccf.com.cn/newscenter/detail-160000-2017071400378.shtml,4.3,2017-07-14,江阴及常州
53.7,2018-06-07 15:34:04,http://www.ccf.com.cn/newscenter/detail-160000-2017071400378.shtml,54.3,2017-07-14,总和
5.1,2018-06-07 15:34:09,http://www.ccf.com.cn/newscenter/detail-160000-2017072800451.shtml,4.9,2017-07-28,宁波
1.7,2018-06-07 15:34:09,http://www.ccf.com.cn/newscenter/detail-160000-2017072800451.shtml,2.7,2017-07-28,上海及嘉兴
32.0,2018-06-07 15:34:09,http://www.ccf.com.cn/newscenter/detail-160000-2017072800451.shtml,30.8,2017-07-28,张家港
8.7,2018-06-07 15:34:09,http://www.ccf.com.cn/newscenter/detail-160000-2017072800451.shtml,8,2017-07-28,太仓及常熟
4.4,2018-06-07 15:34:09,http://www.ccf.com.cn/newscenter/detail-160000-2017072800451.shtml,3.8,2017-07-28,江阴及常州
51.9,2018-06-07 15:34:09,http://www.ccf.com.cn/newscenter/detail-160000-2017072800451.shtml,50.2,2017-07-28,总和
5.8,2018-06-07 15:34:13,http://www.ccf.com.cn/newscenter/detail-160000-2017080400356.shtml,5.1,2017-08-04,宁波
4.2,2018-06-07 15:34:13,http://www.ccf.com.cn/newscenter/detail-160000-2017080400356.shtml,1.7,2017-08-04,上海及嘉兴
32.4,2018-06-07 15:34:13,http://www.ccf.com.cn/newscenter/detail-160000-2017080400356.shtml,32.0,2017-08-04,张家港
7.6,2018-06-07 15:34:13,http://www.ccf.com.cn/newscenter/detail-160000-2017080400356.shtml,8.7,2017-08-04,太仓及常熟
6.4,2018-06-07 15:34:13,http://www.ccf.com.cn/newscenter/detail-160000-2017080400356.shtml,4.4,2017-08-04,江阴及常州
56.4,2018-06-07 15:34:13,http://www.ccf.com.cn/newscenter/detail-160000-2017080400356.shtml,51.9,2017-08-04,总和
5.6,2018-06-07 15:34:15,http://www.ccf.com.cn/newscenter/detail-160000-2017081100469.shtml,5.8,2017-08-11,宁波
3.8,2018-06-07 15:34:15,http://www.ccf.com.cn/newscenter/detail-160000-2017081100469.shtml,4.2,2017-08-11,上海及嘉兴
31.8,2018-06-07 15:34:15,http://www.ccf.com.cn/newscenter/detail-160000-2017081100469.shtml,32.4,2017-08-11,张家港
9.9,2018-06-07 15:34:15,http://www.ccf.com.cn/newscenter/detail-160000-2017081100469.shtml,7.6,2017-08-11,太仓及常熟
5,2018-06-07 15:34:15,http://www.ccf.com.cn/newscenter/detail-160000-2017081100469.shtml,6.4,2017-08-11,江阴及常州
56.1,2018-06-07 15:34:15,http://www.ccf.com.cn/newscenter/detail-160000-2017081100469.shtml,56.4,2017-08-11,总和
5.7,2018-06-07 15:34:17,http://www.ccf.com.cn/newscenter/detail-160000-2017081800318.shtml,5.6,2017-08-18,宁波
5.5,2018-06-07 15:34:17,http://www.ccf.com.cn/newscenter/detail-160000-2017081800318.shtml,3.8,2017-08-18,上海及嘉兴
35.8,2018-06-07 15:34:17,http://www.ccf.com.cn/newscenter/detail-160000-2017081800318.shtml,31.8,2017-08-18,张家港
8.9,2018-06-07 15:34:17,http://www.ccf.com.cn/newscenter/detail-160000-2017081800318.shtml,9.9,2017-08-18,太仓及常熟
4.9,2018-06-07 15:34:17,http://www.ccf.com.cn/newscenter/detail-160000-2017081800318.shtml,5,2017-08-18,江阴及常州
60.8,2018-06-07 15:34:17,http://www.ccf.com.cn/newscenter/detail-160000-2017081800318.shtml,56.1,2017-08-18,总和
6.3,2018-06-07 15:34:21,http://www.ccf.com.cn/newscenter/detail-160000-2017082500414.shtml,5.7,2017-08-25,宁波
4.5,2018-06-07 15:34:21,http://www.ccf.com.cn/newscenter/detail-160000-2017082500414.shtml,5.5,2017-08-25,上海及嘉兴
37.5,2018-06-07 15:34:21,http://www.ccf.com.cn/newscenter/detail-160000-2017082500414.shtml,35.8,2017-08-25,张家港
7.4,2018-06-07 15:34:21,http://www.ccf.com.cn/newscenter/detail-160000-2017082500414.shtml,8.9,2017-08-25,太仓及常熟
4.0,2018-06-07 15:34:21,http://www.ccf.com.cn/newscenter/detail-160000-2017082500414.shtml,4.9,2017-08-25,江阴及常州
59.7,2018-06-07 15:34:21,http://www.ccf.com.cn/newscenter/detail-160000-2017082500414.shtml,60.8,2017-08-25,总和
6.4,2018-06-07 15:34:25,http://www.ccf.com.cn/newscenter/detail-160000-2017090100415.shtml,6.3,2017-09-01,宁波
5,2018-06-07 15:34:25,http://www.ccf.com.cn/newscenter/detail-160000-2017090100415.shtml,4.5,2017-09-01,上海及嘉兴
37.8,2018-06-07 15:34:25,http://www.ccf.com.cn/newscenter/detail-160000-2017090100415.shtml,37.5,2017-09-01,张家港
8.8,2018-06-07 15:34:25,http://www.ccf.com.cn/newscenter/detail-160000-2017090100415.shtml,7.4,2017-09-01,太仓及常熟
3.9,2018-06-07 15:34:25,http://www.ccf.com.cn/newscenter/detail-160000-2017090100415.shtml,4.0,2017-09-01,江阴及常州
61.9,2018-06-07 15:34:25,http://www.ccf.com.cn/newscenter/detail-160000-2017090100415.shtml,59.7,2017-09-01,总和
4.5,2018-06-07 15:34:29,http://www.ccf.com.cn/newscenter/detail-160000-2017091500426.shtml,5.9,2017-09-15,宁波
3.6,2018-06-07 15:34:29,http://www.ccf.com.cn/newscenter/detail-160000-2017091500426.shtml,4.2,2017-09-15,上海及嘉兴
32.4,2018-06-07 15:34:29,http://www.ccf.com.cn/newscenter/detail-160000-2017091500426.shtml,35.8,2017-09-15,张家港
7.0,2018-06-07 15:34:29,http://www.ccf.com.cn/newscenter/detail-160000-2017091500426.shtml,5.9,2017-09-15,太仓及常熟
4.0,2018-06-07 15:34:29,http://www.ccf.com.cn/newscenter/detail-160000-2017091500426.shtml,4.0,2017-09-15,江阴及常州
51.5,2018-06-07 15:34:30,http://www.ccf.com.cn/newscenter/detail-160000-2017091500426.shtml,55.8,2017-09-15,总和
5.3,2018-06-07 15:34:34,http://www.ccf.com.cn/newscenter/detail-160000-2017092200431.shtml,4.5,2017-09-22,宁波
2.7,2018-06-07 15:34:34,http://www.ccf.com.cn/newscenter/detail-160000-2017092200431.shtml,3.6,2017-09-22,上海及嘉兴
33.4,2018-06-07 15:34:34,http://www.ccf.com.cn/newscenter/detail-160000-2017092200431.shtml,32.4,2017-09-22,张家港
