update_dt,datadate,source,change_price,day_avg_price,product_name
2018-06-07 12:59:14,2017-12-20,http://www.ccf.com.cn/newscenter/detail-140000-2017122000544.shtml,105元/吨,7585,CCF内盘MEG现货
2018-06-07 12:59:14,2017-12-20,http://www.ccf.com.cn/newscenter/detail-140000-2017122000544.shtml,75元/吨,7515,CCF内盘MEG期货
2018-06-07 12:59:14,2017-12-20,http://www.ccf.com.cn/newscenter/detail-140000-2017122000544.shtml,100元/吨,7600,CCF内盘宁波MEG现货
2018-06-07 12:59:14,2017-12-20,http://www.ccf.com.cn/newscenter/detail-140000-2017122000544.shtml,50元/吨,7625,CCF内盘华南MEG现货
2018-06-07 12:59:14,2017-12-20,http://www.ccf.com.cn/newscenter/detail-140000-2017122000544.shtml,13美元/吨,930,CCF外盘MEG
2018-06-07 12:59:14,2017-12-20,http://www.ccf.com.cn/newscenter/detail-140000-2017122000544.shtml,0,3,CCF接盘指数
2018-06-07 12:59:17,2017-12-18,http://www.ccf.com.cn/newscenter/detail-140000-2017121800553.shtml,40元/吨,7445,CCF内盘MEG现货
2018-06-07 12:59:17,2017-12-18,http://www.ccf.com.cn/newscenter/detail-140000-2017121800553.shtml,30元/吨,7410,CCF内盘MEG期货
2018-06-07 12:59:17,2017-12-18,http://www.ccf.com.cn/newscenter/detail-140000-2017121800553.shtml,35元/吨,7460,CCF内盘宁波MEG现货
2018-06-07 12:59:17,2017-12-18,http://www.ccf.com.cn/newscenter/detail-140000-2017121800553.shtml,100元/吨,7600,CCF内盘华南MEG现货
2018-06-07 12:59:17,2017-12-18,http://www.ccf.com.cn/newscenter/detail-140000-2017121800553.shtml,4美元/吨,916,CCF外盘MEG
2018-06-07 12:59:17,2017-12-18,http://www.ccf.com.cn/newscenter/detail-140000-2017121800553.shtml,0,2.5,CCF接盘指数
2018-06-07 12:59:20,2017-12-19,http://www.ccf.com.cn/newscenter/detail-140000-2017121900467.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:59:20,2017-12-19,http://www.ccf.com.cn/newscenter/detail-140000-2017121900467.shtml,0/0,18900-19500,PTMEG（市场价 高）
2018-06-07 12:59:23,2017-12-19,http://www.ccf.com.cn/newscenter/detail-140000-2017121900524.shtml,35元/吨,7480,CCF内盘MEG现货
2018-06-07 12:59:23,2017-12-19,http://www.ccf.com.cn/newscenter/detail-140000-2017121900524.shtml,30元/吨,7440,CCF内盘MEG期货
2018-06-07 12:59:23,2017-12-19,http://www.ccf.com.cn/newscenter/detail-140000-2017121900524.shtml,40元/吨,7500,CCF内盘宁波MEG现货
2018-06-07 12:59:23,2017-12-19,http://www.ccf.com.cn/newscenter/detail-140000-2017121900524.shtml,-25元/吨,7575,CCF内盘华南MEG现货
2018-06-07 12:59:23,2017-12-19,http://www.ccf.com.cn/newscenter/detail-140000-2017121900524.shtml,1美元/吨,917,CCF外盘MEG
2018-06-07 12:59:23,2017-12-19,http://www.ccf.com.cn/newscenter/detail-140000-2017121900524.shtml,0.5,3,CCF接盘指数
2018-06-07 12:59:27,2017-12-14,http://www.ccf.com.cn/newscenter/detail-140000-2017121400542.shtml,0元/吨,7350,CCF内盘MEG现货
2018-06-07 12:59:27,2017-12-14,http://www.ccf.com.cn/newscenter/detail-140000-2017121400542.shtml,5元/吨,7340,CCF内盘MEG期货
2018-06-07 12:59:27,2017-12-14,http://www.ccf.com.cn/newscenter/detail-140000-2017121400542.shtml,-5元/吨,7360,CCF内盘宁波MEG现货
2018-06-07 12:59:27,2017-12-14,http://www.ccf.com.cn/newscenter/detail-140000-2017121400542.shtml,-100元/吨,7475,CCF内盘华南MEG现货
2018-06-07 12:59:27,2017-12-14,http://www.ccf.com.cn/newscenter/detail-140000-2017121400542.shtml,-3美元/吨,905,CCF外盘MEG
2018-06-07 12:59:27,2017-12-14,http://www.ccf.com.cn/newscenter/detail-140000-2017121400542.shtml,0,2.5,CCF接盘指数
2018-06-07 12:59:31,2017-12-13,http://www.ccf.com.cn/newscenter/detail-140000-2017121300509.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:59:31,2017-12-13,http://www.ccf.com.cn/newscenter/detail-140000-2017121300509.shtml,0/0,18900-19500,PTMEG（市场价 高）
2018-06-07 12:59:36,2017-12-13,http://www.ccf.com.cn/newscenter/detail-140000-2017121300540.shtml,-30元/吨,7350,CCF内盘MEG现货
2018-06-07 12:59:36,2017-12-13,http://www.ccf.com.cn/newscenter/detail-140000-2017121300540.shtml,-40元/吨,7335,CCF内盘MEG期货
2018-06-07 12:59:36,2017-12-13,http://www.ccf.com.cn/newscenter/detail-140000-2017121300540.shtml,-35元/吨,7365,CCF内盘宁波MEG现货
2018-06-07 12:59:36,2017-12-13,http://www.ccf.com.cn/newscenter/detail-140000-2017121300540.shtml,0元/吨,7575,CCF内盘华南MEG现货
2018-06-07 12:59:36,2017-12-13,http://www.ccf.com.cn/newscenter/detail-140000-2017121300540.shtml,-2美元/吨,908,CCF外盘MEG
2018-06-07 12:59:36,2017-12-13,http://www.ccf.com.cn/newscenter/detail-140000-2017121300540.shtml,0,2.5,CCF接盘指数
2018-06-07 12:59:39,2017-12-11,http://www.ccf.com.cn/newscenter/detail-140000-2017121100546.shtml,-5元/吨,7390,CCF内盘MEG现货
2018-06-07 12:59:39,2017-12-11,http://www.ccf.com.cn/newscenter/detail-140000-2017121100546.shtml,10元/吨,7390,CCF内盘MEG期货
2018-06-07 12:59:39,2017-12-11,http://www.ccf.com.cn/newscenter/detail-140000-2017121100546.shtml,0元/吨,7410,CCF内盘宁波MEG现货
2018-06-07 12:59:39,2017-12-11,http://www.ccf.com.cn/newscenter/detail-140000-2017121100546.shtml,0元/吨,7575,CCF内盘华南MEG现货
2018-06-07 12:59:39,2017-12-11,http://www.ccf.com.cn/newscenter/detail-140000-2017121100546.shtml,-3美元/吨,911,CCF外盘MEG
2018-06-07 12:59:39,2017-12-11,http://www.ccf.com.cn/newscenter/detail-140000-2017121100546.shtml,0,2.5,CCF接盘指数
2018-06-07 12:59:43,2017-12-12,http://www.ccf.com.cn/newscenter/detail-140000-2017121200336.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:59:43,2017-12-12,http://www.ccf.com.cn/newscenter/detail-140000-2017121200336.shtml,0/0,18900-19500,PTMEG（市场价 高）
2018-06-07 12:59:45,2017-12-06,http://www.ccf.com.cn/newscenter/detail-140000-2017120600415.shtml,0/0,18400-18800,PTMEG（市场价 低）
2018-06-07 12:59:45,2017-12-06,http://www.ccf.com.cn/newscenter/detail-140000-2017120600415.shtml,0/0,18900-19500,PTMEG（市场价 高）
