value_date,report_title,table_title,index_name,column_value,report_date,value_unit,column_name
,亚洲PX市场日报（1.20）,1,基准价,686.67-687.67*,2016-01-21 08:13:00,,CFR台湾/中国
,亚洲PX市场日报（1.20）,2,二月上,668.00-669.00,2016-01-21 08:13:00,,FOB韩国
,亚洲PX市场日报（1.20）,2,二月上,689.00-690.00,2016-01-21 08:13:00,,CFR台湾/中国
,亚洲PX市场日报（1.20）,3,二月下,668.00-669.00,2016-01-21 08:13:00,,FOB韩国
,亚洲PX市场日报（1.20）,3,二月下,689.00-690.00,2016-01-21 08:13:00,,CFR台湾/中国
,亚洲PX市场日报（1.20）,4,三月上,664.00-666.00,2016-01-21 08:13:00,,FOB韩国
,亚洲PX市场日报（1.20）,4,三月上,685.00-687.00,2016-01-21 08:13:00,,CFR台湾/中国
,亚洲PX市场日报（1.20）,5,三月下,664.00-666.00,2016-01-21 08:13:00,,FOB韩国
,亚洲PX市场日报（1.20）,5,三月下,685.00-687.00,2016-01-21 08:13:00,,CFR台湾/中国
,亚洲PX市场日报（1.22）,1,基准价,688.50-689.50*,2016-01-25 08:15:00,,FOB韩国
,亚洲PX市场日报（1.22）,1,基准价,709.50-710.50*,2016-01-25 08:15:00,,CFR台湾/中国
,亚洲PX市场日报（1.22）,2,二月上,686.00-688.00,2016-01-25 08:15:00,,FOB韩国
,亚洲PX市场日报（1.22）,2,二月上,707.00-709.00,2016-01-25 08:15:00,,CFR台湾/中国
,亚洲PX市场日报（1.22）,3,二月下,686.00-688.00,2016-01-25 08:15:00,,FOB韩国
,亚洲PX市场日报（1.22）,3,二月下,707.00-709.00,2016-01-25 08:15:00,,CFR台湾/中国
,亚洲PX市场日报（1.22）,4,三月上,689.00-691.00*,2016-01-25 08:15:00,,FOB韩国
,亚洲PX市场日报（1.22）,4,三月上,710.00-712.00*,2016-01-25 08:15:00,,CFR台湾/中国
,亚洲PX市场日报（1.22）,5,三月下,689.00-691.00*,2016-01-25 08:15:00,,FOB韩国
,亚洲PX市场日报（1.22）,5,三月下,710.00-712.00*,2016-01-25 08:15:00,,CFR台湾/中国
,亚洲PX市场日报（1.26）,1,基准价,673.17-674.17*,2016-01-27 08:18:00,,FOB韩国
,亚洲PX市场日报（1.26）,1,基准价,694.17-695.17*,2016-01-27 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.26）,2,二月上,672.00-674.00,2016-01-27 08:18:00,,FOB韩国
,亚洲PX市场日报（1.26）,2,二月上,693.00-695.00,2016-01-27 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.26）,3,二月下,672.00-674.00,2016-01-27 08:18:00,,FOB韩国
,亚洲PX市场日报（1.26）,3,二月下,693.00-695.00,2016-01-27 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.26）,4,三月上,673.00-675.00,2016-01-27 08:18:00,,FOB韩国
,亚洲PX市场日报（1.26）,4,三月上,694.00-696.00,2016-01-27 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.26）,5,三月下,673.00-675.00,2016-01-27 08:18:00,,FOB韩国
,亚洲PX市场日报（1.26）,5,三月下,694.00-696.00,2016-01-27 08:18:00,,CFR台湾/中国
,亚洲PX市场日报（1.29）,1,基准价,718.83-719.83*,2016-02-01 08:19:00,,FOB韩国
,亚洲PX市场日报（1.29）,1,基准价,739.83-740.83*,2016-02-01 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（1.29）,2,二月上,717.00-719.00,2016-02-01 08:19:00,,FOB韩国
,亚洲PX市场日报（1.29）,2,二月上,738.00-740.00,2016-02-01 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（1.29）,3,二月下,717.00-719.00,2016-02-01 08:19:00,,FOB韩国
,亚洲PX市场日报（1.29）,3,二月下,738.00-740.00,2016-02-01 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（1.29）,4,三月上,719.00-721.00,2016-02-01 08:19:00,,FOB韩国
,亚洲PX市场日报（1.29）,4,三月上,740.00-742.00,2016-02-01 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（1.29）,5,三月下,719.00-721.00,2016-02-01 08:19:00,,FOB韩国
,亚洲PX市场日报（1.29）,5,三月下,740.00-742.00,2016-02-01 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.1）,1,基准价,714.17-715.17*,2016-02-02 08:17:00,,FOB韩国
,亚洲PX市场日报（2.1）,1,基准价,735.17-736.17*,2016-02-02 08:17:00,,CFR台湾/中国
,亚洲PX市场日报（2.1）,2,二月下,711.00-713.00,2016-02-02 08:17:00,,FOB韩国
,亚洲PX市场日报（2.1）,2,二月下,732.00-734.00,2016-02-02 08:17:00,,CFR台湾/中国
,亚洲PX市场日报（2.1）,3,三月上,713.00-715.00,2016-02-02 08:17:00,,FOB韩国
,亚洲PX市场日报（2.1）,3,三月上,734.00-736.00,2016-02-02 08:17:00,,CFR台湾/中国
,亚洲PX市场日报（2.1）,4,三月下,713.00-715.00,2016-02-02 08:17:00,,FOB韩国
,亚洲PX市场日报（2.1）,4,三月下,734.00-736.00,2016-02-02 08:17:00,,CFR台湾/中国
,亚洲PX市场日报（2.1）,5,四月上,715.00-717.00,2016-02-02 08:17:00,,FOB韩国
,亚洲PX市场日报（2.1）,5,四月上,736.00-738.00,2016-02-02 08:17:00,,CFR台湾/中国
,亚洲PX市场日报（2.12）,1,基准价,709.50-710.50*,2016-02-15 08:36:00,,FOB韩国
,亚洲PX市场日报（2.12）,1,基准价,730.50-731.50*,2016-02-15 08:36:00,,CFR台湾/中国
,亚洲PX市场日报（2.12）,2,二月下,706.00-708.00,2016-02-15 08:36:00,,FOB韩国
,亚洲PX市场日报（2.12）,2,二月下,727.00-729.00,2016-02-15 08:36:00,,CFR台湾/中国
,亚洲PX市场日报（2.12）,3,三月上,708.00-710.00*,2016-02-15 08:36:00,,FOB韩国
,亚洲PX市场日报（2.12）,3,三月上,729.00-731.00,2016-02-15 08:36:00,,CFR台湾/中国
,亚洲PX市场日报（2.12）,4,三月下,708.00-710.00*,2016-02-15 08:36:00,,FOB韩国
,亚洲PX市场日报（2.12）,4,三月下,729.00-731.00,2016-02-15 08:36:00,,CFR台湾/中国
,亚洲PX市场日报（2.12）,5,四月上,711.00-713.00*,2016-02-15 08:36:00,,FOB韩国
,亚洲PX市场日报（2.12）,5,四月上,732.00-734.00*,2016-02-15 08:36:00,,CFR台湾/中国
,亚洲PX市场日报（2.17）,1,基准价,706.50-707.50*,2016-02-18 08:08:00,,FOB韩国
,亚洲PX市场日报（2.17）,1,基准价,727.50-728.50*,2016-02-18 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.17）,2,三月上,702.00-704.00,2016-02-18 08:08:00,,FOB韩国
,亚洲PX市场日报（2.17）,2,三月上,723.00-725.00,2016-02-18 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.17）,3,三月下,702.00-704.00,2016-02-18 08:08:00,,FOB韩国
,亚洲PX市场日报（2.17）,3,三月下,723.00-725.00,2016-02-18 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.17）,4,四月上,708.00-710.00*,2016-02-18 08:08:00,,FOB韩国
,亚洲PX市场日报（2.17）,4,四月上,729.00-731.00*,2016-02-18 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.17）,5,四月下,708.00-710.00*,2016-02-18 08:08:00,,FOB韩国
,亚洲PX市场日报（2.17）,5,四月下,729.00-731.00*,2016-02-18 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.22）,1,基准价,725.17-726.17*,2016-02-23 08:09:00,,FOB韩国
,亚洲PX市场日报（2.22）,1,基准价,746.17-747.17*,2016-02-23 08:09:00,,CFR台湾/中国
,亚洲PX市场日报（2.22）,2,三月上,718.00-720.00,2016-02-23 08:09:00,,FOB韩国
,亚洲PX市场日报（2.22）,2,三月上,739.00-741.00,2016-02-23 08:09:00,,CFR台湾/中国
,亚洲PX市场日报（2.22）,3,三月下,718.00-720.00,2016-02-23 08:09:00,,FOB韩国
,亚洲PX市场日报（2.22）,3,三月下,739.00-741.00,2016-02-23 08:09:00,,CFR台湾/中国
,亚洲PX市场日报（2.22）,4,四月上,728.00-730.00*,2016-02-23 08:09:00,,FOB韩国
,亚洲PX市场日报（2.22）,4,四月上,749.00-751.00*,2016-02-23 08:09:00,,CFR台湾/中国
,亚洲PX市场日报（2.22）,5,四月下,728.00-730.00*,2016-02-23 08:09:00,,FOB韩国
,亚洲PX市场日报（2.22）,5,四月下,749.00-751.00*,2016-02-23 08:09:00,,CFR台湾/中国
,亚洲PX市场日报（2.23）,1,基准价,728.17-729.17*,2016-02-24 08:08:00,,FOB韩国
,亚洲PX市场日报（2.23）,1,基准价,749.17-750.17*,2016-02-24 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.23）,2,三月上,723.00-725.00,2016-02-24 08:08:00,,FOB韩国
,亚洲PX市场日报（2.23）,2,三月上,744.00-746.00,2016-02-24 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.23）,3,三月下,723.00-725.00,2016-02-24 08:08:00,,FOB韩国
,亚洲PX市场日报（2.23）,3,三月下,744.00-746.00,2016-02-24 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.23）,4,四月上,730.00-732.00*,2016-02-24 08:08:00,,FOB韩国
,亚洲PX市场日报（2.23）,4,四月上,751.00-753.00*,2016-02-24 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.23）,5,四月下,730.00-732.00*,2016-02-24 08:08:00,,FOB韩国
,亚洲PX市场日报（2.23）,5,四月下,751.00-753.00*,2016-02-24 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（2.25）,1,基准价,723.17-724.17*,2016-02-26 08:02:00,,FOB韩国
,亚洲PX市场日报（2.25）,1,基准价,744.17-745.17*,2016-02-26 08:02:00,,CFR台湾/中国
,亚洲PX市场日报（2.25）,2,三月上,718.00-720.00,2016-02-26 08:02:00,,FOB韩国
,亚洲PX市场日报（2.25）,2,三月上,739.00-741.00,2016-02-26 08:02:00,,CFR台湾/中国
,亚洲PX市场日报（2.25）,3,三月下,718.00-720.00,2016-02-26 08:02:00,,FOB韩国
,亚洲PX市场日报（2.25）,3,三月下,739.00-741.00,2016-02-26 08:02:00,,CFR台湾/中国
,亚洲PX市场日报（2.25）,4,四月上,725.00-727.00*,2016-02-26 08:02:00,,FOB韩国
,亚洲PX市场日报（2.25）,4,四月上,746.00-748.00*,2016-02-26 08:02:00,,CFR台湾/中国
,亚洲PX市场日报（2.25）,5,四月下,725.00-727.00*,2016-02-26 08:02:00,,FOB韩国
,亚洲PX市场日报（2.25）,5,四月下,746.00-748.00*,2016-02-26 08:02:00,,CFR台湾/中国
,亚洲PX市场日报（3.1）,1,基准价,739.67-740.67*,2016-03-02 08:08:00,,FOB韩国
,亚洲PX市场日报（3.1）,1,基准价,760.67-761.67*,2016-03-02 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（3.1）,2,三月下,729.00-731.00,2016-03-02 08:08:00,,FOB韩国
,亚洲PX市场日报（3.1）,2,三月下,750.00-752.00,2016-03-02 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（3.1）,3,四月上,737.00-739.00*,2016-03-02 08:08:00,,FOB韩国
,亚洲PX市场日报（3.1）,3,四月上,758.00-760.00*,2016-03-02 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（3.1）,4,四月下,737.00-739.00*,2016-03-02 08:08:00,,FOB韩国
,亚洲PX市场日报（3.1）,4,四月下,758.00-760.00*,2016-03-02 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（3.1）,5,五月上,744.00-745.00*,2016-03-02 08:08:00,,FOB韩国
,亚洲PX市场日报（3.1）,5,五月上,765.00-766.00*,2016-03-02 08:08:00,,CFR台湾/中国
,亚洲PX市场日报（4.10）,1,基准价,855.50-856.50 *,2015-04-13 07:56:00,,FOB韩国
,亚洲PX市场日报（4.10）,1,基准价,877.50-878.50 *,2015-04-13 07:56:00,,CFR台湾/中国
,亚洲PX市场日报（4.10）,2,四月下,857-859,2015-04-13 07:56:00,,FOB韩国
,亚洲PX市场日报（4.10）,2,四月下,879-881,2015-04-13 07:56:00,,CFR台湾/中国
,亚洲PX市场日报（4.10）,3,五月上,855-857 *,2015-04-13 07:56:00,,FOB韩国
,亚洲PX市场日报（4.10）,3,五月上,877-879   *,2015-04-13 07:56:00,,CFR台湾/中国
,亚洲PX市场日报（4.10）,4,五月下,855-857 *,2015-04-13 07:56:00,,FOB韩国
,亚洲PX市场日报（4.10）,4,五月下,877-879   *,2015-04-13 07:56:00,,CFR台湾/中国
,亚洲PX市场日报（4.10）,5,六月上,851-853,2015-04-13 07:56:00,,FOB韩国
,亚洲PX市场日报（4.10）,5,六月上,873-875,2015-04-13 07:56:00,,CFR台湾/中国
,亚洲PX市场日报（2.26）,1,基准价,727.17-728.17*,2016-02-29 08:16:00,,FOB韩国
,亚洲PX市场日报（2.26）,1,基准价,748.17-749.17*,2016-02-29 08:16:00,,CFR台湾/中国
,亚洲PX市场日报（2.26）,2,三月上,722.00-724.00,2016-02-29 08:16:00,,FOB韩国
,亚洲PX市场日报（2.26）,2,三月上,743.00-745.00,2016-02-29 08:16:00,,CFR台湾/中国
,亚洲PX市场日报（2.26）,3,三月下,722.00-724.00,2016-02-29 08:16:00,,FOB韩国
,亚洲PX市场日报（2.26）,3,三月下,743.00-745.00,2016-02-29 08:16:00,,CFR台湾/中国
,亚洲PX市场日报（2.26）,4,四月上,729.00-731.00*,2016-02-29 08:16:00,,FOB韩国
,亚洲PX市场日报（2.26）,4,四月上,750.00-752.00*,2016-02-29 08:16:00,,CFR台湾/中国
,亚洲PX市场日报（2.26）,5,四月下,729.00-731.00*,2016-02-29 08:16:00,,FOB韩国
,亚洲PX市场日报（2.26）,5,四月下,750.00-752.00*,2016-02-29 08:16:00,,CFR台湾/中国
,亚洲PX市场日报（2.29）,1,基准价,721.50-722.50*,2016-03-01 08:04:00,,FOB韩国
,亚洲PX市场日报（2.29）,1,基准价,742.50-743.50*,2016-03-01 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（2.29）,2,三月上,716.00-718.00,2016-03-01 08:04:00,,FOB韩国
,亚洲PX市场日报（2.29）,2,三月上,737.00-739.00,2016-03-01 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（2.29）,3,三月下,716.00-718.00,2016-03-01 08:04:00,,FOB韩国
,亚洲PX市场日报（2.29）,3,三月下,737.00-739.00,2016-03-01 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（2.29）,4,四月上,724.00-725.00*,2016-03-01 08:04:00,,FOB韩国
,亚洲PX市场日报（2.29）,4,四月上,745.00-746.00*,2016-03-01 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（2.29）,5,四月下,724.00-725.00*,2016-03-01 08:04:00,,FOB韩国
,亚洲PX市场日报（2.29）,5,四月下,745.00-746.00*,2016-03-01 08:04:00,,CFR台湾/中国
,亚洲PX市场日报（2.24）,1,基准价,723.17-724.17*,2016-02-25 08:11:00,,FOB韩国
,亚洲PX市场日报（2.24）,1,基准价,744.17-745.17*,2016-02-25 08:11:00,,CFR台湾/中国
,亚洲PX市场日报（2.24）,2,三月上,718.00-720.00,2016-02-25 08:11:00,,FOB韩国
,亚洲PX市场日报（2.24）,2,三月上,739.00-741.00,2016-02-25 08:11:00,,CFR台湾/中国
,亚洲PX市场日报（2.24）,3,三月下,718.00-720.00,2016-02-25 08:11:00,,FOB韩国
,亚洲PX市场日报（2.24）,3,三月下,739.00-741.00,2016-02-25 08:11:00,,CFR台湾/中国
,亚洲PX市场日报（2.24）,4,四月上,725.00-727.00*,2016-02-25 08:11:00,,FOB韩国
,亚洲PX市场日报（2.24）,4,四月上,746.00-748.00*,2016-02-25 08:11:00,,CFR台湾/中国
,亚洲PX市场日报（2.24）,5,四月下,725.00-727.00*,2016-02-25 08:11:00,,FOB韩国
,亚洲PX市场日报（2.24）,5,四月下,746.00-748.00*,2016-02-25 08:11:00,,CFR台湾/中国
,亚洲PX市场日报(2.18),1,基准价,711.50-712.50*,2016-02-19 08:10:00,,FOB韩国
,亚洲PX市场日报(2.18),1,基准价,732.50-733.50*,2016-02-19 08:10:00,,CFR台湾/中国
,亚洲PX市场日报(2.18),2,三月上,707.00-709.00,2016-02-19 08:10:00,,FOB韩国
,亚洲PX市场日报(2.18),2,三月上,728.00-730.00,2016-02-19 08:10:00,,CFR台湾/中国
,亚洲PX市场日报(2.18),3,三月下,707.00-709.00,2016-02-19 08:10:00,,FOB韩国
,亚洲PX市场日报(2.18),3,三月下,728.00-730.00,2016-02-19 08:10:00,,CFR台湾/中国
,亚洲PX市场日报(2.18),4,四月上,713.00-715.00*,2016-02-19 08:10:00,,FOB韩国
,亚洲PX市场日报(2.18),4,四月上,734.00-736.00*,2016-02-19 08:10:00,,CFR台湾/中国
,亚洲PX市场日报(2.18),5,四月下,713.00-715.00*,2016-02-19 08:10:00,,FOB韩国
,亚洲PX市场日报(2.18),5,四月下,734.00-736.00*,2016-02-19 08:10:00,,CFR台湾/中国
,亚洲PX市场日报(2.19),1,基准价,717.83-718.83*,2016-02-20 09:53:00,,FOB韩国
,亚洲PX市场日报(2.19),1,基准价,738.83-739.83*,2016-02-20 09:53:00,,CFR台湾/中国
,亚洲PX市场日报(2.19),2,三月上,712.00-714.00 ,2016-02-20 09:53:00,,FOB韩国
,亚洲PX市场日报(2.19),2,三月上,733.00-735.00  ,2016-02-20 09:53:00,,CFR台湾/中国
,亚洲PX市场日报(2.19),3,三月下,712.00-714.00*,2016-02-20 09:53:00,,FOB韩国
,亚洲PX市场日报(2.19),3,三月下, 733.00-735.00* ,2016-02-20 09:53:00,,CFR台湾/中国
,亚洲PX市场日报(2.19),4,四月上,720.00-722.00*,2016-02-20 09:53:00,,FOB韩国
,亚洲PX市场日报(2.19),4,四月上, 741.00-743.00* ,2016-02-20 09:53:00,,CFR台湾/中国
,亚洲PX市场日报(2.19),5,四月下,720.00-722.00*,2016-02-20 09:53:00,,FOB韩国
,亚洲PX市场日报(2.19),5,四月下,741.00-743.00* ,2016-02-20 09:53:00,,CFR台湾/中国
,亚洲PX市场日报（2.15）,1,基准价,725.83-726.83*,2016-02-16 08:19:00,,FOB韩国
,亚洲PX市场日报（2.15）,1,基准价,746.83-747.83*,2016-02-16 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.15）,2,二月下,722.00-724.00,2016-02-16 08:19:00,,FOB韩国
,亚洲PX市场日报（2.15）,2,二月下,743.00-745.00,2016-02-16 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.15）,3,三月上,724.00-726.00*,2016-02-16 08:19:00,,FOB韩国
,亚洲PX市场日报（2.15）,3,三月上,745.00-747.00*,2016-02-16 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.15）,4,三月下,724.00-726.00*,2016-02-16 08:19:00,,FOB韩国
,亚洲PX市场日报（2.15）,4,三月下,745.00-747.00*,2016-02-16 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.15）,5,四月上,728.00-730.00*,2016-02-16 08:19:00,,FOB韩国
,亚洲PX市场日报（2.15）,5,四月上,749.00-751.00*,2016-02-16 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.16）,1,基准价,727.83-728.83*,2016-02-17 08:19:00,,FOB韩国
,亚洲PX市场日报（2.16）,1,基准价,748.83-749.83,2016-02-17 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.16）,2,三月上,724.00-726.00,2016-02-17 08:19:00,,FOB韩国
,亚洲PX市场日报（2.16）,2,三月上,745.00-747.00,2016-02-17 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.16）,3,三月下,724.00-726.00,2016-02-17 08:19:00,,FOB韩国
,亚洲PX市场日报（2.16）,3,三月下,745.00-747.00,2016-02-17 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.16）,4,四月上,729.00-731.00*,2016-02-17 08:19:00,,FOB韩国
,亚洲PX市场日报（2.16）,4,四月上,750.00-752.00*,2016-02-17 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.16）,5,四月下,729.00-731.00*,2016-02-17 08:19:00,,FOB韩国
,亚洲PX市场日报（2.16）,5,四月下,750.00-752.00*,2016-02-17 08:19:00,,CFR台湾/中国
,亚洲PX市场日报（2.2）,1,基准价,714.17-715.17*,2016-02-03 08:18:00,,FOB韩国
,亚洲PX市场日报（2.2）,1,基准价,735.17-736.17*,2016-02-03 08:18:00,,CFR台湾/中国
